Markers,Displacement,Load,Time,Depth,HARDNESS,MODULUS,S^2/P,X Position,Y Position
,nm,mN,s,nm,GPa,GPa,GPa,Âµm,Âµm
,-1785.289511,3.733289146,688.1541796,105.3730012,7.939678388,141.0590907,3143.449078,0,225.980625
,-1763.058315,3.737157946,691.6857132,106.840563,7.789939093,134.0841431,2930.169032,0,223.980375
,-1745.532731,3.739737022,695.2189671,110.1235238,7.266930557,128.8638531,2927.820094,0,221.980125
,-1727.600687,3.743519721,698.870405,107.9164378,7.656962222,130.4077726,2837.985531,0,219.979875
,-1709.181679,3.746842165,702.4152935,107.2287781,7.835737438,128.8353098,2714.218572,0,217.979625
,-1690.2751,3.750535911,705.9607907,103.9178196,8.353949697,137.028288,2839.058608,0,215.979375
,-1668.771532,3.754104396,709.5002755,106.6112197,7.789685434,136.1678283,3011.097915,0,213.979125
,-1656.274905,3.756652731,713.0386654,107.7529885,8.096347491,116.1540405,2183.40044,0,211.978875
,-1640.045178,3.759763742,716.5902536,103.5387757,8.377791719,139.6047375,2925.317804,0,209.978625
,-1620.974851,3.763370149,720.133619,103.0015676,8.260278514,150.2311755,3373.321377,0,207.978375
,-1581.372061,3.767434802,723.6681942,119.3131979,5.929652157,124.3004797,3365.326595,0,205.978125
,-1567.57551,3.770759994,727.2099698,117.0380511,6.491765276,111.2620555,2520.321327,0,203.977875
,-1548.665909,3.77379449,730.7507675,118.0264116,6.352651651,110.7829607,2555.55728,0,201.977625
,-1534.057309,3.776234954,734.2764661,119.2882699,6.150715223,111.7070108,2679.268038,0,199.977375
,-1521.964483,3.777702757,737.8071329,120.9681382,5.838504149,116.4827973,3043.147932,0,197.977125
,-1511.170006,3.78257683,741.3523956,105.3807727,7.842389216,145.7669447,3370.864839,0,195.976875
,-1491.609899,3.786890634,744.8942055,100.5791818,8.774968443,152.6513256,3264.997831,0,193.976625
,-1470.020204,3.789500708,748.4497209,108.118052,7.452108107,138.1450359,3228.451449,0,191.976375
,-1440.556731,3.795627134,752.0022693,104.6971805,8.204303169,135.9155947,2849.596016,0,189.976125
,-1414.50158,3.79922935,755.5618279,110.2242117,7.322150169,125.5992137,2776.226392,0,187.975875
,-1387.471611,3.803376615,759.111171,114.8363668,6.676222772,118.6958101,2752.587474,0,185.975625
,-1358.573987,3.809183907,762.6669141,112.4876192,6.862905905,128.5195661,3085.499763,0,183.975375
,-1310.517626,3.822173615,766.2772324,89.48539105,11.51675527,178.9851785,3270.618482,0,181.975125
,-1232.827496,3.833973662,769.877904,102.4900857,8.537010584,143.0783635,2997.305927,0,179.974875
,-1126.472302,3.849401187,773.4752571,127.260198,5.629060518,88.64095188,1921.36364,0,177.974625
,-1143.441046,3.846451527,776.9846664,133.4879151,6.044496395,60.43482299,876.0241771,0,175.974375
,-1169.421404,3.843562794,780.4843866,116.7151433,7.445066098,86.23445634,1380.921307,0,173.974125
,-1202.951607,3.837842715,783.9758,108.9864934,7.455638502,130.0450671,2900.268326,0,171.973875
,-1206.767285,3.838311624,787.4900467,101.306231,8.72725828,147.0467591,3075.714852,0,169.973625
,-1219.026226,3.835216428,791.0087666,104.6464464,8.190532594,137.0193664,2895.371232,0,167.973375
,-1224.059722,3.834022854,794.5231629,104.8994704,8.071533785,139.6237559,3037.040164,0,165.973125
,-1218.214438,3.834320602,798.0613218,109.1208784,7.377336674,132.4757231,3028.750298,0,163.972875
,-1213.099719,3.834636882,801.592876,111.7272665,7.155167116,120.9521492,2656.310286,0,161.972625
,-1211.963133,3.836543098,805.110318,103.2334005,8.527062806,136.6127408,2766.575701,0,159.972375
,-1194.508218,3.838834353,808.6327474,107.5043085,7.728090152,130.8792731,2829.901055,0,157.972125
,-1189.231095,3.839970339,812.1710612,106.8333082,7.857663205,131.2759502,2798.191941,0,155.971875
,-1179.40749,3.842379366,815.7004171,103.3129268,8.527422605,135.8478267,2739.209481,0,153.971625
